tramite_tipo;ID_Denuncia;tramite_fecha;fecha_inscripcion_inicial;registro_seccional_codigo;registro_seccional_descripcion;registro_seccional_provincia;automotor_origen;automotor_anio_modelo;automotor_tipo_codigo;automotor_tipo_descripcion;automotor_marca_codigo;automotor_marca_descripcion;automotor_modelo_codigo;automotor_modelo_descripcion;automotor_uso_codigo;automotor_uso_descripcion;titular_tipo_persona;titular_domicilio_localidad;titular_domicilio_provincia;titular_genero;titular_anio_nacimiento;titular_pais_nacimiento;titular_porcentaje_titularidad;titular_domicilio_provincia_id;titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO;DEN-4621;5/1/2024;12/5/2011;1241;MAR DEL PLATA;Buenos Aires;Protocolo 21;2011;80;PICK UP;024;CHEVROLET;542;MONTANA  LS;1;Privado;Física;MAR DEL PLATA;BUENOS AIRES;Masculino;1959;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4065;16/1/2024;29/11/2012;1120;LA MATANZA;Buenos Aires;Nacional;2012;;SEDAN;00;RENAULT;11;KANGOO AUTH.PLUS 1.6 DA AA CD PK 2P;1;Privado;Física;CASEROS;BUENOS AIRES;Masculino;1969;ARGENTINA;50;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4926;17/1/2024;23/7/2010;1173;BERAZATEGUI;Buenos Aires;Nacional;2010;;SEDAN;34;PEUGEOT;J1;207 COMPACT XS 1.9D 5P;1;Privado;Física;GONZALEZ CATAN;BUENOS AIRES;Masculino;1995;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-6899;30/1/2024;11/3/2005;1122;LOMAS DE ZAMORA;Buenos Aires;Protocolo 21;2005;55;UTILITARIO;044;FIAT;589;UNO VAN FIRE MPI 8V;1;Privado;Física;LOMAS DE ZAMORA;BUENOS AIRES;Masculino;1996;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-5882;5/1/2024;28/11/2007;1192;MORON;Buenos Aires;Protocolo 21;2007;55;UTILITARIO;044;FIAT;589;UNO VAN FIRE MPI 8V;1;Privado;Física;CASTELAR;BUENOS AIRES;Masculino;1995;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4578;31/1/2024;20/7/2011;1090;SAN MIGUEL;Buenos Aires;Protocolo 21;2011;55;UTILITARIO;044;FIAT;589;UNO VAN FIRE MPI 8V;1;Privado;Física;SAN MIGUEL;BUENOS AIRES;No identificado;1956;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-6351;25/1/2024;5/9/2006;1174;LA MATANZA;Buenos Aires;Protocolo 21;2006;55;UTILITARIO;044;FIAT;589;UNO VAN FIRE MPI 8V;1;Privado;Física;RAFAEL CASTILLO;BUENOS AIRES;Masculino;1987;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-6478;29/1/2024;5/5/2006;1080;ROJAS;Buenos Aires;Protocolo 21;2006;55;UTILITARIO;044;FIAT;589;UNO VAN FIRE MPI 8V;1;Privado;Física;LIBERTAD;BUENOS AIRES;Masculino;1989;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4586;18/1/2024;29/6/2011;1178;LA MATANZA;Buenos Aires;Protocolo 21;2011;;SEDAN;024;CHEVROLET;050;MERIVA GL 1.8;1;Privado;Física;CIUDAD EVITA;BUENOS AIRES;Masculino;1956;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-11129;25/1/2024;6/8/1993;21068;ROSARIO;Santa Fe;Nacional;1993;41;FAMILIAR;17;FIAT;76;DUNA W.E. SCR;1;Privado;Física;ROSARIO;SANTA FE;Masculino;1965;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-8873;12/1/2024;27/9/1999;1220;AVELLANEDA;Buenos Aires;Nacional;1999;41;FAMILIAR;37;RENAULT;EK;KANGOO RN DA AA PACK ABCP;1;Privado;Física;VILLA DOMINICO;BUENOS AIRES;Masculino;1980;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-8618;4/1/2024;31/5/2000;1226;LA MATANZA;Buenos Aires;Nacional;2000;41;FAMILIAR;37;RENAULT;EK;KANGOO RN DA AA PACK ABCP;1;Privado;Física;R. CASTILLO;BUENOS AIRES;Masculino;1972;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-3873;25/1/2024;18/6/2013;13029;MENDOZA;Mendoza;Nacional;2013;41;FAMILIAR;34;PEUGEOT;LJ;PARTNER CONFORT HDI 1.6;1;Privado;Física;LAS TORTUGAS;MENDOZA;Masculino;1974;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-6373;8/1/2024;28/7/2006;13012;MENDOZA;Mendoza;Nacional;2006;41;FAMILIAR;37;RENAULT;NP;KANGOO RL EXPRESS DIE 1PCL AA;1;Privado;Física;LUJAN DE CUYO;MENDOZA;Masculino;1971;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-7198;10/1/2024;26/4/2004;2065;CAPITAL FEDERAL;Ciudad Autónoma de Bs.As.;Nacional;2004;41;FAMILIAR;37;RENAULT;KB;KANGOO RN EXP. DIE DA AA 2PL;1;Privado;Física;C.AUTONOMA DE BS.AS;C.AUTONOMA DE BS.AS;Masculino;1976;ARGENTINA;100;2;ARG
DENUNCIA DE ROBO O HURTO;DEN-5134;26/1/2024;5/1/2010;1220;AVELLANEDA;Buenos Aires;Nacional;2010;40;PICK UP;68;TOYOTA;33;HILUX SW4 4X4 SRV 3.0 TDI C/CUERO;1;Privado;Física;AVELLANEDA;BUENOS AIRES;No identificado;1946;ARGENTINA;50;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-5911;8/1/2024;2/11/2007;1231;TRES DE FEBRERO;Buenos Aires;Nacional;2007;40;PICK UP;68;TOYOTA;35;HILUX SW4 4X4 SRV 3.0 TDI A/T C/CUERO;1;Privado;Física;SANTOS LUGARES;BUENOS AIRES;Masculino;1970;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-5447;3/1/2024;3/2/2009;1231;TRES DE FEBRERO;Buenos Aires;Nacional;2009;40;PICK UP;68;TOYOTA;35;HILUX SW4 4X4 SRV 3.0 TDI A/T C/CUERO;1;Privado;Física;PABLO PODESTÁ;BUENOS AIRES;Masculino;1971;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-593;2/1/2024;19/5/2022;1240;JOSE C. PAZ;Buenos Aires;Nacional;2022;40;PICK UP;68;TOYOTA;BW;SW4 4X4 SRX 2.8 TDI 6 AT 7A;1;Privado;Física;JOSÉ C. PAZ;BUENOS AIRES;No identificado;2002;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-8923;31/1/2024;27/8/1999;1235;SAN FERNANDO;Buenos Aires;Nacional;1999;40;PICK UP;69;JEEP;02;GRAND CHEROKEE LAREDO;1;Privado;Física;VICTORIA;BUENOS AIRES;No identificado;1997;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-686;11/1/2024;24/2/2022;11011;GENERAL PICO Nº 3;La Pampa;Nacional;2022;40;PICK UP;68;TOYOTA;BW;SW4 4X4 SRX 2.8 TDI 6 AT 7A;1;Privado;Física;MIGUEL CANE;LA PAMPA;Masculino;1963;ARGENTINA;100;42;ARG
DENUNCIA DE ROBO O HURTO;DEN-5277;2/1/2024;22/7/2009;2080;CAPITAL FEDERAL;Ciudad Autónoma de Bs.As.;Nacional;2009;40;PICK UP;68;TOYOTA;33;HILUX SW4 4X4 SRV 3.0 TDI C/CUERO;1;Privado;Física;C.AUTONOMA DE BS.AS;C.AUTONOMA DE BS.AS;Femenino;1977;ARGENTINA;100;2;ARG
DENUNCIA DE ROBO O HURTO;DEN-8847;18/1/2024;29/10/1999;16011;SAN CARLOS DE BARILOCHE;Río Negro;Nacional;1999;40;PICK UP;69;JEEP;01;GRAND CHEROKEE LIMITED;1;Privado;Física;EL BOLSON;RIO NEGRO;Masculino;1968;ARGENTINA;100;62;ARG
DENUNCIA DE ROBO O HURTO;DEN-576;5/1/2024;8/6/2022;19008;SAN LUIS;San Luis;Nacional;2022;40;PICK UP;68;TOYOTA;CP;SW4 4X4 DIAMOND II 2.8 TDI 6 AT 7A;1;Privado;Física;NOGOLI;SAN LUIS;Masculino;1981;ARGENTINA;100;74;ARG
DENUNCIA DE ROBO O HURTO;DEN-4355;10/1/2024;7/2/2012;2050;CAPITAL FEDERAL;Ciudad Autónoma de Bs.As.;Nacional;2012;40;PICK UP;68;TOYOTA;35;HILUX SW4 4X4 SRV 3.0 TDI A/T C/CUERO;1;Privado;Física;C.AUTONOMA DE BS.AS;C.AUTONOMA DE BS.AS;No identificado;1978;ARGENTINA;100;2;ARG
DENUNCIA DE ROBO O HURTO;DEN-6410;2/1/2024;15/6/2006;4005;CORDOBA;Córdoba;Nacional;2006;40;PICK UP;68;TOYOTA;32;HILUX SW4 4X4 SRV 3.0 TDI;1;Privado;Física;CORDBA;CORDOBA;Femenino;1979;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-9952;23/1/2024;24/10/1996;1135;LANUS;Buenos Aires;Nacional;1996;36;SEDAN;53;VOLKSWAGEN;11;GOL GLD;1;Privado;Física;LANUS ESTE;BUENOS AIRES;Masculino;1960;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9882;16/1/2024;26/12/1996;1244;LA MATANZA;Buenos Aires;Nacional;1996;36;SEDAN;53;VOLKSWAGEN;11;GOL GLD /1996;1;Privado;Física;RAMOS MEJIA;BUENOS AIRES;Femenino;1973;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-10969;4/1/2024;23/12/1993;1201;MAR DEL PLATA;Buenos Aires;Importado;1993;34;RURAL;044;FIAT;272;DUNA WE DIESEL 1.7;1;Privado;Física;MAR DEL PLATA;BUENOS AIRES;Femenino;1960;ARGENTINA;100;6;ARG
